address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"6613 Del Playa Dr Goleta, CA 93117",2,3,7600,0.67
"6631 Picasso Rd Goleta, CA 93117",1,1,2500,0.63
"6595 Cordoba Rd Goleta, CA 93117",1,1,2700,0.55
"6510 Picasso Rd Unit H, Isla Vista, CA 93117, United States",1,0,4800,0.31
"6510 Picasso Rd Unit A, Isla Vista, CA 93117, United States",1,1,4800,0.31
"6510 Picasso Rd Unit G, Isla Vista, CA 93117, United States",1,1,4800,0.31
"6510 Picasso Rd Unit C, Isla Vista, CA 93117, United States",1,2,4800,0.31
"6510 Picasso Rd Unit I, Isla Vista, CA 93117, United States",1,2,4800,0.31
"6654 Del Playa Dr Isla Vista, CA 93117",1,0,2480,0.74
"6730 Sabado Tarde Rd Goleta, CA 93117",3,5,13100,0.88
"6621 Abrego Rd Isla Vista, CA 93117",1,1,1695,0.61
"6512 Segovia Rd Isla Vista, CA 93117",1,2,2800,0.3
"6621 Abrego Rd Isla Vista, CA 93117",1,1,2800,0.61
"6621 Abrego Rd Isla Vista, CA 93117",1,2,3000,0.61
"851 Camino Pescadero #21, Goleta, CA 93117",1,0,1985,0.58
"7610 Hollister Ave UNIT 109, Goleta, CA 93117",1,1,3400,2.81
"6598 Calle Koral, Goleta, CA 93117",2.5,3,5200,1.57
"37 Colusa Ave #101, Goleta, CA 93117",1,0,3250,1.99
"7181 Del Norte Dr, Goleta, CA 93117",1,1,4000,2.33
"223 Ellwood Beach Dr APT 5, Goleta, CA 93117",1,1,2650,2.35
"935 Camino Pescadero Unit B, Isla Vista, CA 93117",2,3,6500,0.59
"6706 Del Playa Unit A, Isla Vista, CA 93117",2,3,9000,0.85
"6647 Abrego Unit C Isla Vista, CA 93117",1,0,2690,0.68
"6647 Abrego Unit B Isla Vista, CA 93117",2,4,6400,0.68
"6647 Abrego Unit A Isla Vista, CA 93117",2.5,4,8900,0.68
"759 Embarcadero del Mar, Unit B Goleta, CA 93117, United States",1,1,3450,0.51
"759 Embarcadero del Mar Unit H , Goleta, CA 93117, United States",1,2,5500,0.51
"4781 Avalon Ave Santa Barbara, CA 93110",1,1,2600,3.6
"6587 Cervantes Rd Unit 13 Goleta, CA 93117",1,1,3450,0.53
"6587 Cervantes Rd Unit 14 Goleta, CA 93117",1,1,3700,0.53
"6587 Cervantes Rd Unit 1 Goleta, CA 93117",1,1,3450,0.53
"6777 Del Playa Dr Unit 5, Isla Vista, CA 93117",2,3,10000,1
"6777 Del Playa Dr Unit 1, Isla Vista, CA 93117",2,4,12000,1
"6777 Del Playa Dr Unit 3, Isla Vista, CA 93117",2,4,12000,1
"6777 Del Playa Dr Unit 4, Isla Vista, CA 93117",2,4,12000,1
